,Program,Research Exp,TOEFL Score,greV,greQ,greA,Topper CGPA,CGPA,UG label,ranking
6552,0,0,110,159,167,5.5,8.7,8.61,88,72
6553,0,0,116,155,167,3.5,8.2,7.5,88,72
6554,0,0,102,570,800,4,9,7.72,88,285
6555,0,0,110,159,167,5.5,8.7,8.61,88,285
6556,0,0,116,155,167,3.5,8.2,7.5,88,285
6557,0,0,111,630,750,4,8.5,8.3,88,285
6558,0,0,112,156,162,4,8.6,7.15,88,285
6559,0,0,104,153,163,3,8.6,8,88,285
6560,0,0,82,146,156,3.5,8.2,6,88,344
6561,0,0,105,153,159,3,8.1,7.4,88,344
6562,0,0,110,159,167,5.5,8.7,8.61,88,111
6563,0,0,102,570,800,4,9,7.72,88,262
6564,0,0,102,570,800,4,9,7.72,88,2
6565,0,0,110,159,167,5.5,8.7,8.61,88,2
6566,0,0,106,145,169,4,9,7.732,88,340
6567,0,0,102,480,690,3.5,9,7.4,88,340
6568,0,0,105,153,159,3,8.1,7.4,88,340
6569,0,0,105,153,159,3,8.1,7.4,88,581
6570,0,0,0,148,160,3.5,8.5,6.9,88,581
6571,0,0,110,159,167,5.5,8.7,8.61,88,189
6572,0,0,106,145,169,4,9,7.732,88,189
6573,0,0,111,630,750,4,8.5,8.3,88,189
6574,0,0,116,155,167,3.5,8.2,7.5,88,189
6575,0,0,104,153,163,3,8.6,8,88,219
6576,0,0,110,159,167,5.5,8.7,8.61,88,45
6577,0,0,116,155,167,3.5,8.2,7.5,88,45
6578,0,0,116,155,167,3.5,8.2,7.5,88,135
6579,0,0,111,630,750,4,8.5,8.3,88,561
6580,0,0,112,156,162,4,8.6,7.15,88,561
6581,0,0,106,420,800,3,8.6,7.2,88,561
6582,0,0,110,159,167,5.5,8.7,8.61,88,206
6583,0,0,106,420,800,3,8.6,7.2,88,206
6584,0,0,111,630,750,4,8.5,8.3,88,167
6585,0,0,116,155,167,3.5,8.2,7.5,88,167
6586,0,0,102,480,690,3.5,9,7.4,88,231
6587,0,0,105,153,159,3,8.1,7.4,88,231
6588,0,0,0,150,153,4,8.6,7.2,88,231
6589,0,0,0,150,153,4,8.6,7.2,88,136
6590,0,0,105,153,159,3,8.1,7.4,88,136
6591,0,0,111,630,750,4,8.5,8.3,88,305
6592,0,0,110,159,167,5.5,8.7,8.61,88,21
6593,0,0,110,159,167,5.5,8.7,8.61,88,156
